ticker,code,name_ko,name_en,market,exchange,country,currency,tradable
029780.KS,029780,삼성카드,Samsung Card,KOSPI,KRX,KR,KRW,1
051900.KS,051900,LG생활건강,LG H&H,KOSPI,KRX,KR,KRW,1
161390.KS,161390,한국타이어앤테크놀로지,Hankook Tire & Technology,KOSPI,KRX,KR,KRW,1
036570.KS,036570,엔씨소프트,NCSoft,KOSPI,KRX,KR,KRW,1
450080.KS,450080,에코프로머티,EcoPro Materials,KOSPI,KRX,KR,KRW,1
004020.KS,004020,현대제철,Hyundai Steel,KOSPI,KRX,KR,KRW,1
078930.KS,078930,GS,GS Holdings,KOSPI,KRX,KR,KRW,1
011170.KS,011170,롯데케미칼,Lotte Chemical,KOSPI,KRX,KR,KRW,1
011070.KS,011070,LG이노텍,LG Innotek,KOSPI,KRX,KR,KRW,1
022100.KS,022100,포스코DX,POSCO DX,KOSPI,KRX,KR,KRW,1
241560.KS,241560,두산밥캣,Doosan Bobcat,KOSPI,KRX,KR,KRW,1
307950.KS,307950,현대오토에버,Hyundai AutoEver,KOSPI,KRX,KR,KRW,1
443060.KS,443060,HD현대마린솔루션,HD Hyundai Marine Solution,KOSPI,KRX,KR,KRW,1
128940.KS,128940,한미약품,Hanmi Pharm,KOSPI,KRX,KR,KRW,1
039490.KS,039490,키움증권,Kiwoom Securities,KOSPI,KRX,KR,KRW,1
016360.KS,016360,삼성증권,Samsung Securities,KOSPI,KRX,KR,KRW,1
009830.KS,009830,한화솔루션,Hanwha Solutions,KOSPI,KRX,KR,KRW,1
007660.KS,007660,이수페타시스,ISU Petasys,KOSPI,KRX,KR,KRW,1
034220.KS,034220,LG디스플레이,LG Display,KOSPI,KRX,KR,KRW,1
064400.KS,064400,LG씨엔에스,LG CNS,KOSPI,KRX,KR,KRW,1
454910.KS,454910,두산로보틱스,Doosan Robotics,KOSPI,KRX,KR,KRW,1
062040.KS,062040,산일전기,Sanil Electric,KOSPI,KRX,KR,KRW,1
278470.KS,278470,에이피알,APR,KOSPI,KRX,KR,KRW,1
196170.KQ,196170,알테오젠,Alteogen,KOSDAQ,KOSDAQ,KR,KRW,1
247540.KQ,247540,에코프로비엠,EcoPro BM,KOSDAQ,KOSDAQ,KR,KRW,1
086520.KQ,086520,에코프로,EcoPro,KOSDAQ,KOSDAQ,KR,KRW,1
277810.KQ,277810,레인보우로보틱스,Rainbow Robotics,KOSDAQ,KOSDAQ,KR,KRW,1
028300.KQ,028300,HLB,HLB,KOSDAQ,KOSDAQ,KR,KRW,1
141080.KQ,141080,리가켐바이오,LigaChem Biosciences,KOSDAQ,KOSDAQ,KR,KRW,1
087010.KQ,087010,펩트론,Peptron,KOSDAQ,KOSDAQ,KR,KRW,1
298380.KQ,298380,에이비엘바이오,ABL Bio,KOSDAQ,KOSDAQ,KR,KRW,1
000250.KQ,000250,삼천당제약,Sam Chun Dang Pharm,KOSDAQ,KOSDAQ,KR,KRW,1
214450.KQ,214450,파마리서치,PharmaResearch,KOSDAQ,KOSDAQ,KR,KRW,1
145020.KQ,145020,휴젤,Hugel,KOSDAQ,KOSDAQ,KR,KRW,1
214150.KQ,214150,클래시스,Classys,KOSDAQ,KOSDAQ,KR,KRW,1
058470.KQ,058470,리노공업,LEENO Industrial,KOSDAQ,KOSDAQ,KR,KRW,1
950160.KQ,950160,코오롱티슈진,Kolon TissueGene,KOSDAQ,KOSDAQ,KR,KRW,1
310210.KQ,310210,보로노이,Voronoi,KOSDAQ,KOSDAQ,KR,KRW,1
240810.KQ,240810,원익IPS,Wonik IPS,KOSDAQ,KOSDAQ,KR,KRW,1
403870.KQ,403870,HPSP,HPSP,KOSDAQ,KOSDAQ,KR,KRW,1
039030.KQ,039030,이오테크닉스,EO Technics,KOSDAQ,KOSDAQ,KR,KRW,1
357780.KQ,357780,솔브레인,Soulbrain,KOSDAQ,KOSDAQ,KR,KRW,1
005290.KQ,005290,동진쎄미켐,Dongjin Semichem,KOSDAQ,KOSDAQ,KR,KRW,1
095340.KQ,095340,ISC,ISC,KOSDAQ,KOSDAQ,KR,KRW,1
036930.KQ,036930,주성엔지니어링,Jusung Engineering,KOSDAQ,KOSDAQ,KR,KRW,1
035900.KQ,035900,JYP Ent.,JYP Entertainment,KOSDAQ,KOSDAQ,KR,KRW,1
041510.KQ,041510,에스엠,SM Entertainment,KOSDAQ,KOSDAQ,KR,KRW,1
122870.KQ,122870,와이지엔터테인먼트,YG Entertainment,KOSDAQ,KOSDAQ,KR,KRW,1
263750.KQ,263750,펄어비스,Pearl Abyss,KOSDAQ,KOSDAQ,KR,KRW,1
068760.KQ,068760,셀트리온제약,Celltrion Pharm,KOSDAQ,KOSDAQ,KR,KRW,1
257720.KQ,257720,실리콘투,Silicon2,KOSDAQ,KOSDAQ,KR,KRW,1
214370.KQ,214370,케어젠,Caregen,KOSDAQ,KOSDAQ,KR,KRW,1
086900.KQ,086900,메디톡스,Medytox,KOSDAQ,KOSDAQ,KR,KRW,1
237690.KQ,237690,에스티팜,ST Pharm,KOSDAQ,KOSDAQ,KR,KRW,1
039200.KQ,039200,오스코텍,Oscotec,KOSDAQ,KOSDAQ,KR,KRW,1
328130.KQ,328130,루닛,Lunit,KOSDAQ,KOSDAQ,KR,KRW,1
293490.KQ,293490,카카오게임즈,Kakao Games,KOSDAQ,KOSDAQ,KR,KRW,1
112040.KQ,112040,위메이드,Wemade,KOSDAQ,KOSDAQ,KR,KRW,1
253450.KQ,253450,스튜디오드래곤,Studio Dragon,KOSDAQ,KOSDAQ,KR,KRW,1
035760.KQ,035760,CJ ENM,CJ ENM,KOSDAQ,KOSDAQ,KR,KRW,1
056190.KQ,056190,에스에프에이,SFA Engineering,KOSDAQ,KOSDAQ,KR,KRW,1
178320.KQ,178320,서진시스템,Seojin System,KOSDAQ,KOSDAQ,KR,KRW,1
440110.KQ,440110,파두,FADU,KOSDAQ,KOSDAQ,KR,KRW,1
064760.KQ,064760,티씨케이,Tokai Carbon Korea,KOSDAQ,KOSDAQ,KR,KRW,1
067310.KQ,067310,하나마이크론,Hana Micron,KOSDAQ,KOSDAQ,KR,KRW,1
098460.KQ,098460,고영,Koh Young Technology,KOSDAQ,KOSDAQ,KR,KRW,1
007390.KQ,007390,네이처셀,Nature Cell,KOSDAQ,KOSDAQ,KR,KRW,1
082270.KQ,082270,젬백스,GemVax & KAEL,KOSDAQ,KOSDAQ,KR,KRW,1
065350.KQ,065350,신성델타테크,Shinsung Delta Tech,KOSDAQ,KOSDAQ,KR,KRW,1
018290.KQ,018290,브이티,VT,KOSDAQ,KOSDAQ,KR,KRW,1
213420.KQ,213420,덕산네오룩스,Duksan Neolux,KOSDAQ,KOSDAQ,KR,KRW,1
101490.KQ,101490,에스앤에스텍,S&S Tech,KOSDAQ,KOSDAQ,KR,KRW,1
084370.KQ,084370,유진테크,Eugene Technology,KOSDAQ,KOSDAQ,KR,KRW,1
278280.KQ,278280,천보,Chunbo,KOSDAQ,KOSDAQ,KR,KRW,1
121600.KQ,121600,나노신소재,Advanced Nano Products,KOSDAQ,KOSDAQ,KR,KRW,1
078600.KQ,078600,대주전자재료,Daejoo Electronic Materials,KOSDAQ,KOSDAQ,KR,KRW,1
383310.KQ,383310,에코프로에이치엔,EcoPro HN,KOSDAQ,KOSDAQ,KR,KRW,1
393890.KQ,393890,더블유씨피,WCP,KOSDAQ,KOSDAQ,KR,KRW,1
222800.KQ,222800,심텍,Simmtech,KOSDAQ,KOSDAQ,KR,KRW,1
089030.KQ,089030,테크윙,Techwing,KOSDAQ,KOSDAQ,KR,KRW,1
137400.KQ,137400,피엔티,PNT,KOSDAQ,KOSDAQ,KR,KRW,1
166090.KQ,166090,하나머티리얼즈,Hana Materials,KOSDAQ,KOSDAQ,KR,KRW,1
225570.KQ,225570,넥슨게임즈,Nexon Games,KOSDAQ,KOSDAQ,KR,KRW,1
078340.KQ,078340,컴투스,Com2uS,KOSDAQ,KOSDAQ,KR,KRW,1
095660.KQ,095660,네오위즈,Neowiz,KOSDAQ,KOSDAQ,KR,KRW,1
053800.KQ,053800,안랩,AhnLab,KOSDAQ,KOSDAQ,KR,KRW,1
215000.KQ,215000,골프존,Golfzon,KOSDAQ,KOSDAQ,KR,KRW,1
140410.KQ,140410,메지온,Mezzion Pharma,KOSDAQ,KOSDAQ,KR,KRW,1
064550.KQ,064550,바이오니아,Bioneer,KOSDAQ,KOSDAQ,KR,KRW,1
096530.KQ,096530,씨젠,Seegene,KOSDAQ,KOSDAQ,KR,KRW,1
067630.KQ,067630,HLB생명과학,HLB Life Science,KOSDAQ,KOSDAQ,KR,KRW,1
085660.KQ,085660,차바이오텍,CHA Biotech,KOSDAQ,KOSDAQ,KR,KRW,1
086450.KQ,086450,동국제약,Dongkook Pharmaceutical,KOSDAQ,KOSDAQ,KR,KRW,1
290650.KQ,290650,엘앤씨바이오,L&C Bio,KOSDAQ,KOSDAQ,KR,KRW,1
336570.KQ,336570,원텍,Wontech,KOSDAQ,KOSDAQ,KR,KRW,1
347850.KQ,347850,디앤디파마텍,D&D Pharmatech,KOSDAQ,KOSDAQ,KR,KRW,1
226950.KQ,226950,올릭스,OliX Pharmaceuticals,KOSDAQ,KOSDAQ,KR,KRW,1
475830.KQ,475830,오름테라퓨틱,Orum Therapeutics,KOSDAQ,KOSDAQ,KR,KRW,1
199800.KQ,199800,툴젠,ToolGen,KOSDAQ,KOSDAQ,KR,KRW,1
058610.KQ,058610,에스피지,SPG,KOSDAQ,KOSDAQ,KR,KRW,1
108490.KQ,108490,로보티즈,Robotis,KOSDAQ,KOSDAQ,KR,KRW,1
466100.KQ,466100,클로봇,Clobot,KOSDAQ,KOSDAQ,KR,KRW,1
131970.KQ,131970,두산테스나,Doosan Tesna,KOSDAQ,KOSDAQ,KR,KRW,1
080220.KQ,080220,제주반도체,Jeju Semiconductor,KOSDAQ,KOSDAQ,KR,KRW,1
083650.KQ,083650,비에이치아이,BHI,KOSDAQ,KOSDAQ,KR,KRW,1
014620.KQ,014620,성광벤드,Sung Kwang Bend,KOSDAQ,KOSDAQ,KR,KRW,1
023160.KQ,023160,태광,Taekwang,KOSDAQ,KOSDAQ,KR,KRW,1
033500.KQ,033500,동성화인텍,Dongsung Finetec,KOSDAQ,KOSDAQ,KR,KRW,1
050890.KQ,050890,쏠리드,Solid,KOSDAQ,KOSDAQ,KR,KRW,1
032500.KQ,032500,케이엠더블유,KMW,KOSDAQ,KOSDAQ,KR,KRW,1
046890.KQ,046890,서울반도체,Seoul Semiconductor,KOSDAQ,KOSDAQ,KR,KRW,1
232140.KQ,232140,와이씨,YC,KOSDAQ,KOSDAQ,KR,KRW,1
253590.KQ,253590,네오셈,Neosem,KOSDAQ,KOSDAQ,KR,KRW,1
322310.KQ,322310,오로스테크놀로지,Auros Technology,KOSDAQ,KOSDAQ,KR,KRW,1
348210.KQ,348210,넥스틴,Nextin,KOSDAQ,KOSDAQ,KR,KRW,1
140860.KQ,140860,파크시스템스,Park Systems,KOSDAQ,KOSDAQ,KR,KRW,1
183300.KQ,183300,코미코,KoMiCo,KOSDAQ,KOSDAQ,KR,KRW,1
074600.KQ,074600,원익QnC,Wonik QnC,KOSDAQ,KOSDAQ,KR,KRW,1
319660.KQ,319660,피에스케이,PSK,KOSDAQ,KOSDAQ,KR,KRW,1
095610.KQ,095610,테스,TES,KOSDAQ,KOSDAQ,KR,KRW,1
348370.KQ,348370,엔켐,Enchem,KOSDAQ,KOSDAQ,KR,KRW,1
195940.KQ,195940,HK이노엔,HK inno.N,KOSDAQ,KOSDAQ,KR,KRW,1
067160.KQ,067160,SOOP,SOOP,KOSDAQ,KOSDAQ,KR,KRW,1
NVDA,NVDA,엔비디아,NVIDIA,NASDAQ,NASDAQ,US,USD,1
AAPL,AAPL,애플,Apple,NASDAQ,NASDAQ,US,USD,1
MSFT,MSFT,마이크로소프트,Microsoft,NASDAQ,NASDAQ,US,USD,1
AMZN,AMZN,아마존,Amazon,NASDAQ,NASDAQ,US,USD,1
GOOGL,GOOGL,알파벳 A,Alphabet Class A,NASDAQ,NASDAQ,US,USD,1
SPCX,SPCX,스페이스X,SpaceX,NASDAQ,NASDAQ,US,USD,1
AVGO,AVGO,브로드컴,Broadcom,NASDAQ,NASDAQ,US,USD,1
META,META,메타,Meta Platforms,NASDAQ,NASDAQ,US,USD,1
TSLA,TSLA,테슬라,Tesla,NASDAQ,NASDAQ,US,USD,1
MU,MU,마이크론,Micron Technology,NASDAQ,NASDAQ,US,USD,1
AMD,AMD,AMD,Advanced Micro Devices,NASDAQ,NASDAQ,US,USD,1
WMT,WMT,월마트,Walmart,NASDAQ,NASDAQ,US,USD,1
ASML,ASML,ASML,ASML Holding,NASDAQ,NASDAQ,US,USD,1
INTC,INTC,인텔,Intel,NASDAQ,NASDAQ,US,USD,1
CSCO,CSCO,시스코,Cisco Systems,NASDAQ,NASDAQ,US,USD,1
PLTR,PLTR,팔란티어,Palantir,NASDAQ,NASDAQ,US,USD,1
COST,COST,코스트코,Costco,NASDAQ,NASDAQ,US,USD,1
LRCX,LRCX,램리서치,Lam Research,NASDAQ,NASDAQ,US,USD,1
AMAT,AMAT,어플라이드 머티어리얼즈,Applied Materials,NASDAQ,NASDAQ,US,USD,1
NFLX,NFLX,넷플릭스,Netflix,NASDAQ,NASDAQ,US,USD,1
PANW,PANW,팔로알토 네트웍스,Palo Alto Networks,NASDAQ,NASDAQ,US,USD,1
ARM,ARM,Arm 홀딩스,Arm Holdings,NASDAQ,NASDAQ,US,USD,1
SNDK,SNDK,샌디스크,Sandisk,NASDAQ,NASDAQ,US,USD,1
TXN,TXN,텍사스 인스트루먼트,Texas Instruments,NASDAQ,NASDAQ,US,USD,1
CRWD,CRWD,크라우드스트라이크,CrowdStrike,NASDAQ,NASDAQ,US,USD,1
KLAC,KLAC,KLA,KLA Corporation,NASDAQ,NASDAQ,US,USD,1
MRVL,MRVL,마벨 테크놀로지,Marvell Technology,NASDAQ,NASDAQ,US,USD,1
LIN,LIN,린데,Linde,NASDAQ,NASDAQ,US,USD,1
AMGN,AMGN,암젠,Amgen,NASDAQ,NASDAQ,US,USD,1
STX,STX,시게이트,Seagate Technology,NASDAQ,NASDAQ,US,USD,1
QCOM,QCOM,퀄컴,Qualcomm,NASDAQ,NASDAQ,US,USD,1
GILD,GILD,길리어드 사이언스,Gilead Sciences,NASDAQ,NASDAQ,US,USD,1
ADI,ADI,아날로그 디바이시스,Analog Devices,NASDAQ,NASDAQ,US,USD,1
TMUS,TMUS,T모바일,T-Mobile US,NASDAQ,NASDAQ,US,USD,1
PEP,PEP,펩시코,PepsiCo,NASDAQ,NASDAQ,US,USD,1
SHOP,SHOP,쇼피파이,Shopify,NASDAQ,NASDAQ,US,USD,1
WDC,WDC,웨스턴디지털,Western Digital,NASDAQ,NASDAQ,US,USD,1
ISRG,ISRG,인튜이티브 서지컬,Intuitive Surgical,NASDAQ,NASDAQ,US,USD,1
VRTX,VRTX,버텍스 파마슈티컬스,Vertex Pharmaceuticals,NASDAQ,NASDAQ,US,USD,1
BKNG,BKNG,부킹홀딩스,Booking Holdings,NASDAQ,NASDAQ,US,USD,1
FTNT,FTNT,포티넷,Fortinet,NASDAQ,NASDAQ,US,USD,1
PDD,PDD,핀둬둬(PDD),PDD Holdings,NASDAQ,NASDAQ,US,USD,1
SBUX,SBUX,스타벅스,Starbucks,NASDAQ,NASDAQ,US,USD,1
ADP,ADP,ADP,Automatic Data Processing,NASDAQ,NASDAQ,US,USD,1
APP,APP,앱러빈,AppLovin,NASDAQ,NASDAQ,US,USD,1
ADBE,ADBE,어도비,Adobe,NASDAQ,NASDAQ,US,USD,1
ABNB,ABNB,에어비앤비,Airbnb,NASDAQ,NASDAQ,US,USD,1
MELI,MELI,메르카도리브레,MercadoLibre,NASDAQ,NASDAQ,US,USD,1
CEG,CEG,콘스텔레이션 에너지,Constellation Energy,NASDAQ,NASDAQ,US,USD,1
MAR,MAR,메리어트,Marriott International,NASDAQ,NASDAQ,US,USD,1
MNST,MNST,몬스터 베버리지,Monster Beverage,NASDAQ,NASDAQ,US,USD,1
CSX,CSX,CSX,CSX Corporation,NASDAQ,NASDAQ,US,USD,1
DASH,DASH,도어대시,DoorDash,NASDAQ,NASDAQ,US,USD,1
LITE,LITE,루멘텀,Lumentum,NASDAQ,NASDAQ,US,USD,1
DDOG,DDOG,데이터독,Datadog,NASDAQ,NASDAQ,US,USD,1
INTU,INTU,인튜이트,Intuit,NASDAQ,NASDAQ,US,USD,1
REGN,REGN,리제네론,Regeneron,NASDAQ,NASDAQ,US,USD,1
CMCSA,CMCSA,컴캐스트,Comcast,NASDAQ,NASDAQ,US,USD,1
CTAS,CTAS,신타스,Cintas,NASDAQ,NASDAQ,US,USD,1
CDNS,CDNS,케이던스 디자인,Cadence Design Systems,NASDAQ,NASDAQ,US,USD,1
MDLZ,MDLZ,몬델리즈,Mondelez International,NASDAQ,NASDAQ,US,USD,1
SNPS,SNPS,시놉시스,Synopsys,NASDAQ,NASDAQ,US,USD,1
ROST,ROST,로스 스토어스,Ross Stores,NASDAQ,NASDAQ,US,USD,1
WBD,WBD,워너브라더스 디스커버리,Warner Bros. Discovery,NASDAQ,NASDAQ,US,USD,1
ORLY,ORLY,오라일리 오토모티브,O'Reilly Automotive,NASDAQ,NASDAQ,US,USD,1
HON,HON,허니웰,Honeywell,NASDAQ,NASDAQ,US,USD,1
AEP,AEP,아메리칸 일렉트릭 파워,American Electric Power,NASDAQ,NASDAQ,US,USD,1
MSTR,MSTR,스트래티지,Strategy (MicroStrategy),NASDAQ,NASDAQ,US,USD,1
PCAR,PCAR,파카,PACCAR,NASDAQ,NASDAQ,US,USD,1
NBIS,NBIS,네비우스,Nebius Group,NASDAQ,NASDAQ,US,USD,1
MPWR,MPWR,모놀리식 파워,Monolithic Power Systems,NASDAQ,NASDAQ,US,USD,1
TER,TER,테라다인,Teradyne,NASDAQ,NASDAQ,US,USD,1
NXPI,NXPI,NXP 반도체,NXP Semiconductors,NASDAQ,NASDAQ,US,USD,1
BKR,BKR,베이커휴즈,Baker Hughes,NASDAQ,NASDAQ,US,USD,1
FAST,FAST,패스널,Fastenal,NASDAQ,NASDAQ,US,USD,1
FANG,FANG,다이아몬드백 에너지,Diamondback Energy,NASDAQ,NASDAQ,US,USD,1
ALAB,ALAB,아스테라 랩스,Astera Labs,NASDAQ,NASDAQ,US,USD,1
HONA,HONA,허니웰 에어로스페이스,Honeywell Aerospace,NASDAQ,NASDAQ,US,USD,1
WDAY,WDAY,워크데이,Workday,NASDAQ,NASDAQ,US,USD,1
ADSK,ADSK,오토데스크,Autodesk,NASDAQ,NASDAQ,US,USD,1
XEL,XEL,엑셀 에너지,Xcel Energy,NASDAQ,NASDAQ,US,USD,1
CRWV,CRWV,코어위브,CoreWeave,NASDAQ,NASDAQ,US,USD,1
PYPL,PYPL,페이팔,PayPal,NASDAQ,NASDAQ,US,USD,1
CCEP,CCEP,코카콜라 유로퍼시픽,Coca-Cola Europacific Partners,NASDAQ,NASDAQ,US,USD,1
EXC,EXC,엑셀론,Exelon,NASDAQ,NASDAQ,US,USD,1
KDP,KDP,큐리그 닥터페퍼,Keurig Dr Pepper,NASDAQ,NASDAQ,US,USD,1
PAYX,PAYX,페이첵스,Paychex,NASDAQ,NASDAQ,US,USD,1
RKLB,RKLB,로켓랩,Rocket Lab,NASDAQ,NASDAQ,US,USD,1
TRI,TRI,톰슨로이터,Thomson Reuters,NASDAQ,NASDAQ,US,USD,1
IDXX,IDXX,아이덱스 래버러토리스,IDEXX Laboratories,NASDAQ,NASDAQ,US,USD,1
MCHP,MCHP,마이크로칩 테크놀로지,Microchip Technology,NASDAQ,NASDAQ,US,USD,1
FER,FER,페로비알,Ferrovial,NASDAQ,NASDAQ,US,USD,1
TTWO,TTWO,테이크투 인터랙티브,Take-Two Interactive,NASDAQ,NASDAQ,US,USD,1
ROP,ROP,로퍼 테크놀로지스,Roper Technologies,NASDAQ,NASDAQ,US,USD,1
AXON,AXON,액손,Axon Enterprise,NASDAQ,NASDAQ,US,USD,1
ODFL,ODFL,올드 도미니언,Old Dominion Freight Line,NASDAQ,NASDAQ,US,USD,1
DXCM,DXCM,덱스콤,DexCom,NASDAQ,NASDAQ,US,USD,1
ALNY,ALNY,앨나일람,Alnylam Pharmaceuticals,NASDAQ,NASDAQ,US,USD,1
GEHC,GEHC,GE 헬스케어,GE HealthCare,NASDAQ,NASDAQ,US,USD,1
CPRT,CPRT,코파트,Copart,NASDAQ,NASDAQ,US,USD,1
0700.HK,0700,텐센트,Tencent,CHINA,HKEX,CN,HKD,1
9988.HK,9988,알리바바,Alibaba Group,CHINA,HKEX,CN,HKD,1
601398.SS,601398,공상은행,ICBC,CHINA,SSE,CN,CNY,1
600519.SS,600519,구이저우마오타이,Kweichow Moutai,CHINA,SSE,CN,CNY,1
601288.SS,601288,농업은행,Agricultural Bank of China,CHINA,SSE,CN,CNY,1
601939.SS,601939,건설은행,China Construction Bank,CHINA,SSE,CN,CNY,1
300750.SZ,300750,CATL(닝더스다이),CATL,CHINA,SZSE,CN,CNY,1
0941.HK,0941,차이나모바일,China Mobile,CHINA,HKEX,CN,HKD,1
